name,value,max_value
company_name,Inner Mongolia Yili Industrial Group Co. Ltd.,
assessed_for,"Pulp & Paper,Soy,Palm oil",
year,2023,
company_type,CO,
headquarter,China,
coticker,600887 CH,
profile,"Inner Mongolia Yili Industrial Group Co. Ltd., also known as the Yili Group, is a Chinese manufacturer of dairy products. The company has a large number subsidiary companies operating mainly with Liquid milk, milk powder, yoghurt, and ice cream. The Yili Group is among the top ten dairy companies in the world with activities both in China and in the international market. Palm oil is commonly used as an ingredient in ice cream, and soy is used in the animal feed of dairy products.  Inner Mongolia Yili Industrial Group Co. Ltd. is selected as a powerbroker for palm oil, soy and paper packaging.",
total_score_percentage,12.25,98
overall_approach_points,1,8
commodity_score_points,11.25,90
commitment_strength_points,5.667,14
policy_strength_points,,
implementation_and_reporting_points,5.583,62
associated_human_rights_abuses_points,0,14
initiatives,["UN Global Compact"],
Palm oil,20,90
Palm oil: Associated Human Rights Abuses,0,14
Palm oil: Associated Human Rights Abuses (Labour rights in the supply chain),0,2
Palm oil: Associated Human Rights Abuses (Labour rights in the supply chain) Indicator: 4.1,0,2
Palm oil: Associated Human Rights Abuses (Inclusion of small-scale farmers),0,2
Palm oil: Associated Human Rights Abuses (Inclusion of small-scale farmers) Indicator: 4.2,0,2
Palm oil: Associated Human Rights Abuses (Gender equality in the supply chain),0,2
Palm oil: Associated Human Rights Abuses (Gender equality in the supply chain) Indicator: 4.3,0,2
Palm oil: Associated Human Rights Abuses (Commitment to remediation),0,2
Palm oil: Associated Human Rights Abuses (Commitment to remediation) Indicator: 4.4,0,2
"Palm oil: Associated Human Rights Abuses (Commitment to test Free, Prior and Informed Consent)",0,2
"Palm oil: Associated Human Rights Abuses (Commitment to test Free, Prior and Informed Consent) Indicator: 4.5",0,2
"Palm oil: Associated Human Rights Abuses (Commitment to respect customary rights to land, resources, and territory)",0,2
"Palm oil: Associated Human Rights Abuses (Commitment to respect customary rights to land, resources, and territory) Indicator: 4.6",0,2
Palm oil: Associated Human Rights Abuses (Zero-tolerance approach to violence and threats),0,2
Palm oil: Associated Human Rights Abuses (Zero-tolerance approach to violence and threats) Indicator: 4.7,0,2
Palm oil: Commitment Strength,7,14
Palm oil: Commitment Strength (Commodity-specific deforestation commitment),4,8
Palm oil: Commitment Strength (Commodity-specific deforestation commitment) Indicator: 2.1,1,5
Palm oil: Commitment Strength (Commodity-specific deforestation commitment) Indicator: 3.1,1.5,1.5
Palm oil: Commitment Strength (Commodity-specific deforestation commitment) Indicator: 3.2,1,1
Palm oil: Commitment Strength (Commodity-specific deforestation commitment) Indicator: 3.3,0.5,0.5
Palm oil: Commitment Strength (Commitment to a traceable supply chain),3,6
Palm oil: Commitment Strength (Commitment to a traceable supply chain) Indicator: 2.2,1.5,3
Palm oil: Commitment Strength (Commitment to a traceable supply chain) Indicator: 3.1,1.5,1.5
Palm oil: Commitment Strength (Commitment to a traceable supply chain) Indicator: 3.2,0,1
Palm oil: Commitment Strength (Commitment to a traceable supply chain) Indicator: 3.3,0,0.5
Palm oil: Implementation and Reporting,13,62
Palm oil: Implementation and Reporting (Commodity-specific deforestation commitment),8,13
Palm oil: Implementation and Reporting (Commodity-specific deforestation commitment) Indicator: 5.1,5,5
Palm oil: Implementation and Reporting (Commodity-specific deforestation commitment) Indicator: 5.2,3,3
Palm oil: Implementation and Reporting (Commodity-specific deforestation commitment) Indicator: 5.3,0,2
Palm oil: Implementation and Reporting (Commodity-specific deforestation commitment) Indicator: 5.4,0,3
Palm oil: Implementation and Reporting (Commitment to a traceable supply chain),1,6
Palm oil: Implementation and Reporting (Commitment to a traceable supply chain) Indicator: 5.5,1,3.5
Palm oil: Implementation and Reporting (Commitment to a traceable supply chain) Indicator: 5.6,0,2.5
Palm oil: Implementation and Reporting (Labour rights in the supply chain),0,2.5
Palm oil: Implementation and Reporting (Labour rights in the supply chain) Indicator: 5.3,0,2.5
Palm oil: Implementation and Reporting (Inclusion of small-scale farmers),0,3
Palm oil: Implementation and Reporting (Inclusion of small-scale farmers) Indicator: 5.8,0,3
Palm oil: Implementation and Reporting (Gender equality in the supply chain),0,3
Palm oil: Implementation and Reporting (Gender equality in the supply chain) Indicator: 5.7,0,3
