Ecosystem services,Ecosystem components,Rating,Ecosystem types,Link_assessment,Link assessment,Justification
Other provisioning services - Animal-based energy,Species,R,Tropical-subtropical and Temperate-boreal forests and woodlands ,1,Y,"Species, in the form of working animals, directly provide the animal-based energy service. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision."
Other provisioning services - Animal-based energy,Species,R,"Shrublands & shrubby woodlands, Savannas and grasslands ",1,Y,"Species, in the form of working animals, directly provide the animal-based energy service. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision."
Other provisioning services - Animal-based energy,Species,R,Desert and Semi-deserts ,1,Y,"Species, in the form of working animals, directly provide the animal-based energy service. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision."
Other provisioning services - Animal-based energy,Species,R,Polar-Alpine ,1,P,"Species, in the form of working animals, directly provide the animal-based energy service. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision."
Other provisioning services - Animal-based energy,Species,R,Intensive Land Use Systems - Agriculture and Croplands ,1,Y,"Species, in the form of working animals, directly provide the animal-based energy service. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision."
Other provisioning services - Animal-based energy,Species,R,Intensive Land Use Systems - Urban and Developed Area,1,Y,"Species, in the form of working animals, directly provide the animal-based energy service. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision."
Other provisioning services - Animal-based energy,Species,R,"Subterranean ecosystems (including Subterranean lithic systems, Subterranean freshwaters, Anthropogenic subterranean freshwaters and Subterranean tidal systems) ",0,N,"Species, in the form of working animals, directly provide the animal-based energy service. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision."
Other provisioning services - Animal-based energy,Species,R,Palustrine Wetlands ,0,N,"Species, in the form of working animals, directly provide the animal-based energy service. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision."
Other provisioning services - Animal-based energy,Species,R,"Artificial Freshwaters, Lakes, Rivers and streams ",0,P,"Species, in the form of working animals, directly provide the animal-based energy service. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision."
Other provisioning services - Animal-based energy,Species,R,Semi-confined transitional waters,0,N,"Species, in the form of working animals, directly provide the animal-based energy service. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision."
